@RELATION ALGORITHM_RUNS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE runtime NUMERIC
@ATTRIBUTE runstatus {ok, timeout, memout, not_applicable, crash, other}

@DATA
datas/sc2002/handmade/anton/SAT/SGI_30_70_26_60_3-dir.shuffled-as.sat03-3.cnf,1,opsat_R21,885.061,ok
datas/sc2002/handmade/anton/SAT/SGI_30_70_26_60_3-dir.shuffled-as.sat03-3.cnf,1,ParaFORST,3324.21,ok
datas/sc2002/handmade/anton/SAT/SGI_30_70_26_60_3-dir.shuffled-as.sat03-3.cnf,1,ParaFORST_NoMDM,3746.99,ok
datas/sc2002/handmade/anton/SAT/SGI_30_70_26_60_3-dir.shuffled-as.sat03-3.cnf,1,Relaxed_LCFTP,1340.64,ok
datas/sc2002/handmade/anton/SAT/SGI_30_70_26_60_3-dir.shuffled-as.sat03-3.cnf,1,Relaxed_LCMDCBDL_SCAVEL01,121.032,ok
datas/sc2002/handmade/anton/SAT/SGI_30_70_26_60_3-dir.shuffled-as.sat03-3.cnf,1,slime,4.171,ok
datas/sc2002/handmade/anton/SAT/SGI_30_70_26_60_3-log.shuffled-as.sat03-4.cnf,1,cadical_hack_gb,10000,timeout
datas/sc2002/handmade/anton/SAT/SGI_30_70_26_60_3-log.shuffled-as.sat03-4.cnf,1,cadical_Less_UP,407.142,ok
datas/sc2002/handmade/anton/SAT/SGI_30_70_26_60_3-log.shuffled-as.sat03-4.cnf,1,cadical_PriPro,10000,timeout
datas/sc2002/handmade/anton/SAT/SGI_30_70_26_60_3-log.shuffled-as.sat03-4.cnf,1,cadical_rp,431.13,ok
datas/sc2002/handmade/anton/SAT/SGI_30_70_26_60_3-log.shuffled-as.sat03-4.cnf,1,cadical_sc2021,10000,timeout
datas/sc2002/handmade/anton/SAT/SGI_30_70_26_60_3-log.shuffled-as.sat03-4.cnf,1,cadical_SCAVEL01,802.34,ok
datas/sc2002/handmade/anton/SAT/SGI_30_70_26_60_3-log.shuffled-as.sat03-4.cnf,1,cleanMaple,10000,timeout
datas/sc2002/handmade/anton/SAT/SGI_30_70_26_60_3-log.shuffled-as.sat03-4.cnf,1,hCaD,10000,timeout
datas/sc2002/handmade/anton/SAT/SGI_30_70_26_60_3-log.shuffled-as.sat03-4.cnf,1,hKis,10000,timeout
datas/sc2002/handmade/anton/SAT/SGI_30_70_26_60_3-log.shuffled-as.sat03-4.cnf,1,kissat_bonus,2810.4,ok
datas/sc2002/handmade/anton/SAT/SGI_30_70_26_60_3-log.shuffled-as.sat03-4.cnf,1,kissat_cf,2147.79,ok
datas/sc2002/handmade/anton/SAT/SGI_30_70_26_60_3-log.shuffled-as.sat03-4.cnf,1,kissat_gb,240.607,ok
datas/sc2002/handmade/anton/SAT/SGI_30_70_26_60_3-log.shuffled-as.sat03-4.cnf,1,kissat_MAB,2779.78,ok
datas/sc2002/handmade/anton/SAT/SGI_30_70_26_60_3-log.shuffled-as.sat03-4.cnf,1,kissat_sat_crvr_gb,978.013,ok
datas/sc2002/handmade/anton/SAT/SGI_30_70_26_60_3-log.shuffled-as.sat03-4.cnf,1,kissat_sc2021,575.72,ok
datas/sc2002/handmade/anton/SAT/SGI_30_70_26_60_3-log.shuffled-as.sat03-4.cnf,1,kissat_sc2021_sat,599.28,ok
datas/sc2002/handmade/anton/SAT/SGI_30_70_26_60_3-log.shuffled-as.sat03-4.cnf,1,kissat_sc2021_sweep,753.276,ok
datas/sc2002/handmade/anton/SAT/SGI_30_70_26_60_3-log.shuffled-as.sat03-4.cnf,1,lstech_maple,10000,timeout
datas/sc2002/handmade/anton/SAT/SGI_30_70_26_60_3-log.shuffled-as.sat03-4.cnf,1,Maple_MBDR_BJL6_Tier2,10000,timeout
datas/sc2002/handmade/anton/SAT/SGI_30_70_26_60_3-log.shuffled-as.sat03-4.cnf,1,Maple_simp21,1215.13,ok
datas/sc2002/handmade/anton/SAT/SGI_30_70_26_60_3-log.shuffled-as.sat03-4.cnf,1,MapleSSV,10000,timeout
datas/sc2002/handmade/anton/SAT/SGI_30_70_26_60_3-log.shuffled-as.sat03-4.cnf,1,opsat_R21,1125.49,ok
datas/sc2002/handmade/anton/SAT/SGI_30_70_26_60_3-log.shuffled-as.sat03-4.cnf,1,ParaFORST,92.586,ok
datas/sc2002/handmade/anton/SAT/SGI_30_70_26_60_3-log.shuffled-as.sat03-4.cnf,1,ParaFORST_NoMDM,113.017,ok
datas/sc2002/handmade/anton/SAT/SGI_30_70_26_60_3-log.shuffled-as.sat03-4.cnf,1,Relaxed_LCFTP,10000,timeout
datas/sc2002/handmade/anton/SAT/SGI_30_70_26_60_3-log.shuffled-as.sat03-4.cnf,1,Relaxed_LCMDCBDL_SCAVEL01,10000,timeout
datas/sc2002/handmade/anton/SAT/SGI_30_70_26_60_3-log.shuffled-as.sat03-4.cnf,1,slime,1252.68,ok
datas/sc2002/handmade/anton/SAT/SGI_30_80_15_90_4-dir.shuffled-as.sat03-6.cnf,1,cadical_hack_gb,660.539,ok
datas/sc2002/handmade/anton/SAT/SGI_30_80_15_90_4-dir.shuffled-as.sat03-6.cnf,1,cadical_Less_UP,10000,timeout
datas/sc2002/handmade/anton/SAT/SGI_30_80_15_90_4-dir.shuffled-as.sat03-6.cnf,1,cadical_PriPro,10000,timeout
datas/sc2002/handmade/anton/SAT/SGI_30_80_15_90_4-dir.shuffled-as.sat03-6.cnf,1,cadical_rp,10000,timeout
datas/sc2002/handmade/anton/SAT/SGI_30_80_15_90_4-dir.shuffled-as.sat03-6.cnf,1,cadical_sc2021,228.501,ok
datas/sc2002/handmade/anton/SAT/SGI_30_80_15_90_4-dir.shuffled-as.sat03-6.cnf,1,cadical_SCAVEL01,288.815,ok
datas/sc2002/handmade/anton/SAT/SGI_30_80_15_90_4-dir.shuffled-as.sat03-6.cnf,1,cleanMaple,960.22,ok
datas/sc2002/handmade/anton/SAT/SGI_30_80_15_90_4-dir.shuffled-as.sat03-6.cnf,1,hCaD,1349.34,ok
datas/sc2002/handmade/anton/SAT/SGI_30_80_15_90_4-dir.shuffled-as.sat03-6.cnf,1,hKis,1560.2,ok
datas/sc2002/handmade/anton/SAT/SGI_30_80_15_90_4-dir.shuffled-as.sat03-6.cnf,1,kissat_bonus,10000,timeout
datas/sc2002/handmade/anton/SAT/SGI_30_80_15_90_4-dir.shuffled-as.sat03-6.cnf,1,kissat_cf,3552.81,ok
datas/sc2002/handmade/anton/SAT/SGI_30_80_15_90_4-dir.shuffled-as.sat03-6.cnf,1,kissat_gb,10000,timeout
datas/sc2002/handmade/anton/SAT/SGI_30_80_15_90_4-dir.shuffled-as.sat03-6.cnf,1,kissat_MAB,368.293,ok
datas/sc2002/handmade/anton/SAT/SGI_30_80_15_90_4-dir.shuffled-as.sat03-6.cnf,1,kissat_sat_crvr_gb,31.582,ok
datas/sc2002/handmade/anton/SAT/SGI_30_80_15_90_4-dir.shuffled-as.sat03-6.cnf,1,kissat_sc2021,9.933,ok
datas/sc2002/handmade/anton/SAT/SGI_30_80_15_90_4-dir.shuffled-as.sat03-6.cnf,1,kissat_sc2021_sat,9.893,ok
datas/sc2002/handmade/anton/SAT/SGI_30_80_15_90_4-dir.shuffled-as.sat03-6.cnf,1,kissat_sc2021_sweep,890.1,ok
datas/sc2002/handmade/anton/SAT/SGI_30_80_15_90_4-dir.shuffled-as.sat03-6.cnf,1,lstech_maple,0.662,ok
datas/sc2002/handmade/anton/SAT/SGI_30_80_15_90_4-dir.shuffled-as.sat03-6.cnf,1,Maple_MBDR_BJL6_Tier2,1.036,ok
